x y w h frame_number
594 476 37 17 24
598 474 41 19 25
605 474 37 17 26
610 473 37 17 27
613 473 37 17 28
616 473 37 17 29
619 470 37 17 30
621 471 39 18 31
624 471 37 17 32
625 473 39 18 33
627 472 39 18 34
627 471 43 20 35
628 471 39 18 36
630 470 37 17 37
630 466 43 20 38
632 465 41 19 39
631 466 41 19 40
633 465 39 18 41
637 465 41 19 42
639 466 43 20 43
645 465 39 18 44
647 463 39 18 45
647 461 41 19 46
650 461 43 20 47
652 461 41 19 48
650 460 43 20 49
650 460 43 20 50
649 460 45 21 51
650 463 41 19 52
651 463 41 19 53
649 462 45 21 54
648 462 47 22 55
646 463 50 23 56
644 462 57 26 57
635 466 57 26 58
636 467 57 26 59
636 469 55 25 60
638 471 52 24 61
637 470 52 24 62
637 470 52 24 63
636 470 52 24 64
634 471 52 24 65
633 472 52 24 66
632 472 50 23 67
632 472 50 23 68
631 472 50 23 69
631 471 50 23 70
630 472 52 24 71
630 473 52 24 72
631 473 52 24 73
630 473 52 24 74
631 473 52 24 75
633 473 52 24 76
633 474 52 24 77
632 474 52 24 78
633 473 52 24 79
634 473 52 24 80
634 474 52 24 81
634 472 52 24 82
636 471 50 23 83
636 470 47 22 84
638 468 47 22 85
637 467 47 22 86
638 467 47 22 87
640 467 45 21 88
641 468 45 21 89
640 466 45 21 90
644 465 45 21 91
644 465 45 21 92
645 464 45 21 93
646 464 45 21 94
650 466 45 21 95
651 466 45 21 96
652 467 45 21 97
652 466 45 21 98
654 465 45 21 99
655 466 45 21 100
657 466 45 21 101
659 468 45 21 102
658 469 45 21 103
658 472 45 21 104
661 474 45 21 105
662 474 45 21 106
660 473 45 21 107
659 473 45 21 108
658 471 45 21 109
656 472 45 21 110
655 471 45 21 111
655 470 45 21 112
655 470 45 21 113
654 471 45 21 114
654 472 45 21 115
652 472 45 21 116
652 474 45 21 117
652 476 45 21 118
653 475 45 21 119
652 476 47 22 120
652 478 47 22 121
654 478 45 21 122
654 481 45 21 123
655 483 45 21 124
658 482 45 21 125
659 482 45 21 126
661 486 45 21 127
664 487 45 21 128
666 488 45 21 129
666 491 45 21 130
668 494 45 21 131
670 496 43 20 132
